tempo de leitura: 0.020722
Iteracao	Erro < 0.001000
452		0.002489
453		0.002817
454		0.002648
455		0.003168
456		0.003538
457		0.003918
458		0.003881
459		0.002387
460		0.002157
461		0.003303
462		0.003649
463		0.003047
464		0.003534
465		0.002318
466		0.002340
467		0.002283
468		0.002616
469		0.002058
470		0.002258
471		0.001816
472		0.003233
473		0.003672
474		0.003164
475		0.002141
476		0.001960
477		0.002614
478		0.002708
479		0.002418
480		0.002480
481		0.002620
482		0.003268
483		0.003256
484		0.003606
485		0.003772
486		0.004371
487		0.003099
488		0.003071
489		0.002441
490		0.002828
491		0.002898
492		0.002433
493		0.002657
494		0.001951
495		0.003166
496		0.003066
497		0.002818
498		0.002145
499		0.003353
500		0.003225
501		0.003106
502		0.002956
503		0.001794
504		0.002531
505		0.003011
506		0.002322
507		0.002958
508		0.003057
509		0.001914
510		0.003396
511		0.003550
512		0.004419
513		0.003781
514		0.002316
515		0.002499
516		0.002413
517		0.002393
518		0.002159
519		0.002084
520		0.002229
521		0.003401
522		0.003418
523		0.004010
524		0.003065
525		0.003292
526		0.001726
527		0.002399
528		0.002673
529		0.002662
530		0.002608
531		0.001639
532		0.002254
533		0.002098
534		0.003345
535		0.003491
536		0.002414
537		0.002885
538		0.002015
539		0.002419
540		0.003869
541		0.003758
542		0.002715
543		0.003550
544		0.003400
545		0.002264
546		0.001958
547		0.002203
548		0.002135
549		0.002115
550		0.002165
551		0.002661
552		0.001463
553		0.002614
554		0.002918
555		0.003091
556		0.002928
557		0.002833
558		0.002946
559		0.002493
560		0.002727
561		0.002967
562		0.003204
563		0.002606
564		0.002457
565		0.002869
566		0.003173
567		0.002578
568		0.001905
569		0.003003
570		0.003158
571		0.002755
572		0.002461
573		0.002342
574		0.002492
575		0.003335
576		0.003339
577		0.003476
578		0.003130
579		0.002422
580		0.002386
581		0.003640
582		0.003209
583		0.001840
584		0.002425
585		0.002828
586		0.002006
587		0.002675
588		0.002307
589		0.002064
590		0.002827
591		0.003208
592		0.002539
593		0.002472
594		0.002768
595		0.002433
596		0.002087
597		0.003057
598		0.003552
599		0.003171
600		0.002204
601		0.003068
602		0.002894
603		0.002501
604		0.002652
605		0.002324
606		0.002723
607		0.002162
608		0.002338
609		0.002653
610		0.002006
611		0.002406
612		0.002971
613		0.003716
614		0.003180
615		0.003781
616		0.003160
617		0.003027
618		0.002546
619		0.003247
620		0.002217
621		0.003282
622		0.003096
623		0.002805
624		0.002043
625		0.002413
626		0.003167
627		0.003109
628		0.002951
629		0.002005
630		0.002362
631		0.002129
632		0.002404
633		0.003529
634		0.003079
635		0.002810
636		0.002424
637		0.002376
638		0.003467
639		0.003099
640		0.002163
641		0.002238
642		0.002582
643		0.002530
644		0.001975
645		0.001844
646		0.002906
647		0.003060
648		0.003350
649		0.002981
650		0.002732
651		0.002031
652		0.002042
653		0.001889
654		0.003237
655		0.003294
656		0.003075
657		0.002836
658		0.002837
659		0.001860
660		0.002574
661		0.003608
662		0.003015
663		0.001652
664		0.002000
665		0.002714
666		0.003391
667		0.003410
668		0.003693
669		0.002291
670		0.001821
671		0.003132
672		0.003269
673		0.003039
674		0.002340
675		0.003614
676		0.003642
677		0.003831
678		0.003011
679		0.002432
680		0.002945
681		0.002982
682		0.002968
683		0.002458
684		0.003164
685		0.003051
686		0.002390
687		0.002197
688		0.002450
689		0.002219
690		0.002053
691		0.003062
692		0.003661
693		0.003010
694		0.003610
695		0.003401
696		0.002178
697		0.002147
698		0.002354
699		0.002544
700		0.002189
701		0.002403
702		0.001780
703		0.003208
704		0.003225
705		0.003312
706		0.003414
707		0.002378
708		0.002049
709		0.003017
710		0.003109
711		0.003083
712		0.002570
713		0.002713
714		0.002883
715		0.002845
716		0.002782
717		0.002139
718		0.002092
719		0.002515
720		0.002065
721		0.002379
722		0.002139
723		0.002746
724		0.001745
725		0.001813
726		0.002452
727		0.002315
728		0.001985
729		0.002331
730		0.002033
731		0.002528
732		0.001903
733		0.003382
734		0.003489
735		0.002071
736		0.002644
737		0.002436
738		0.002714
739		0.001620
740		0.003561
741		0.003569
742		0.002763
743		0.002551
744		0.002329
745		0.002257
746		0.002192
747		0.003890
748		0.003620
749		0.002584
750		0.002253
751		0.002158
752		0.003048
753		0.003536
754		0.003492
755		0.003529
756		0.003489
757		0.002477
758		0.002971
759		0.002539
760		0.001965
761		0.002732
762		0.002074
763		0.002725
764		0.003858
765		0.003719
766		0.003426
767		0.002665
768		0.003141
769		0.002942
770		0.002096
771		0.002891
772		0.002726
773		0.002725
774		0.002750
775		0.003263
776		0.002901
777		0.003079
778		0.002394
779		0.001877
780		0.002436
781		0.002321
782		0.002230
783		0.003109
784		0.003096
785		0.002049
786		0.003144
787		0.003541
788		0.002039
789		0.002922
790		0.002905
791		0.002737
792		0.002073
793		0.002777
794		0.004110
795		0.003048
796		0.002000
797		0.003007
798		0.003235
799		0.004179
800		0.004111
801		0.002362
802		0.002938
803		0.003020
804		0.003898
805		0.002863
806		0.002567
807		0.002714
808		0.003049
809		0.002635
810		0.001978
811		0.002523
812		0.002752
813		0.003643
814		0.003558
815		0.003429
816		0.003458
817		0.002573
818		0.002844
819		0.003499
820		0.003080
821		0.002627
822		0.001985
823		0.002447
824		0.002698
825		0.002100
826		0.002088
827		0.003135
828		0.003222
829		0.002508
830		0.002040
831		0.003051
832		0.003715
833		0.003678
834		0.002538
835		0.002556
836		0.002104
837		0.002650
838		0.002983
839		0.002303
840		0.001941
841		0.003180
842		0.002315
843		0.002526
844		0.002284
845		0.002262
846		0.002002
847		0.002089
848		0.002220
849		0.002295
850		0.002400
851		0.001996
852		0.002230
853		0.002538
854		0.002293
855		0.002737
856		0.003478
857		0.002540
858		0.001836
859		0.002137
860		0.001940
861		0.002660
862		0.003006
863		0.003381
864		0.002722
865		0.002880
866		0.003350
867		0.003911
868		0.002859
869		0.002866
870		0.003046
871		0.004318
872		0.003745
873		0.002608
874		0.002272
875		0.002276
876		0.001912
877		0.002312
878		0.002561
879		0.001866
880		0.002949
881		0.002990
882		0.002674
883		0.002722
884		0.003149
885		0.003191
886		0.002775
887		0.002958
888		0.003002
889		0.001974
890		0.001978
891		0.002837
892		0.003213
893		0.002608
894		0.002131
895		0.003445
896		0.003724
897		0.003690
898		0.003875
899		0.002980
900		0.003057
901		0.003082
902		0.002752
903		0.002533
904		0.002521
905		0.002214
906		0.003328
907		0.003244
908		0.002280
909		0.002447
910		0.002208
911		0.003263
912		0.002453
913		0.003564
914		0.002047
915		0.003047
916		0.003232
917		0.002925
918		0.003055
919		0.003378
920		0.003433
921		0.001862
922		0.002656
923		0.002432
924		0.001428
925		0.002494
926		0.001727
927		0.001984
928		0.002857
929		0.003015
930		0.002602
931		0.001695
932		0.002368
933		0.001919
934		0.002691
935		0.002817
936		0.003280
937		0.004285
938		0.002758
939		0.002660
940		0.002234
941		0.002443
942		0.001855
943		0.002703
944		0.002531
945		0.001879
946		0.002999
947		0.002859
948		0.002162
949		0.002555
950		0.003011
951		0.003152
952		0.002353
953		0.001970
954		0.002764
955		0.002655
956		0.002461
957		0.002789
958		0.002839
959		0.003688
960		0.003410
961		0.002263
962		0.004018
963		0.004012
964		0.002424
965		0.003263
966		0.003425
967		0.003104
968		0.003526
969		0.003391
970		0.003879
971		0.002704
972		0.001667
973		0.002356
974		0.001977
975		0.002610
976		0.002609
977		0.002671
978		0.003534
979		0.002240
980		0.002416
981		0.003574
982		0.002839
983		0.002697
984		0.002805
985		0.003193
986		0.003406
987		0.003003
988		0.002576
989		0.002549
990		0.001947
991		0.001793
992		0.002807
993		0.002133
994		0.002052
995		0.003212
996		0.003593
997		0.002900
998		0.002359
999		0.002141
1000		0.003175
1001		0.003032
1002		0.002218
1003		0.003385
1004		0.001869
1005		0.003626
1006		0.003727
1007		0.002764
1008		0.002821
1009		0.002272
1010		0.002497
1011		0.001806
1012		0.003346
1013		0.003294
1014		0.003143
1015		0.002796
1016		0.003391
1017		0.002811
1018		0.003196
1019		0.001804
1020		0.002054
1021		0.002869
1022		0.002554
1023		0.002563
1024		0.002331
1025		0.003015
1026		0.003269
1027		0.002182
1028		0.001925
1029		0.003063
1030		0.003428
1031		0.002591
1032		0.002276
1033		0.002477
1034		0.003732
1035		0.003704
1036		0.002524
1037		0.002080
1038		0.002311
1039		0.002466
1040		0.003199
1041		0.003417
1042		0.003036
1043		0.002915
1044		0.002717
1045		0.002492
1046		0.002199
1047		0.002528
1048		0.002168
1049		0.003004
1050		0.002990
1051		0.002519
1052		0.002763
1053		0.002027
1054		0.002859
1055		0.002107
1056		0.002514
1057		0.001935
1058		0.002817
1059		0.003515
1060		0.002784
1061		0.002879
1062		0.001865
1063		0.003288
1064		0.004087
1065		0.003206
1066		0.003671
1067		0.002862
1068		0.003191
1069		0.002974
1070		0.004110
1071		0.004118
1072		0.002840
1073		0.002521
1074		0.002480
1075		0.003089
1076		0.003330
1077		0.004051
1078		0.002564
1079		0.002603
1080		0.003392
1081		0.003710
1082		0.003068
