tempo de leitura: 0.009461
Iteracao	Erro < 0.001000
452		0.119254
453		0.106167
454		0.118246
455		0.105364
456		0.117247
457		0.104567
458		0.116256
459		0.103775
460		0.115275
461		0.102989
462		0.114302
463		0.102209
464		0.113338
465		0.101434
466		0.112382
467		0.100665
468		0.111435
469		0.099901
470		0.110496
471		0.099143
472		0.109566
473		0.098390
474		0.108644
475		0.097643
476		0.107730
477		0.096901
478		0.106824
479		0.096165
480		0.105926
481		0.095434
482		0.105036
483		0.094708
484		0.104153
485		0.093987
486		0.103279
487		0.093271
488		0.102412
489		0.092561
490		0.101553
491		0.091856
492		0.100702
493		0.091156
494		0.099858
495		0.090461
496		0.099021
497		0.089771
498		0.098192
499		0.089086
500		0.097370
501		0.088406
502		0.096555
503		0.087731
504		0.095747
505		0.087061
506		0.094946
507		0.086396
508		0.094153
509		0.085736
510		0.093366
511		0.085081
512		0.092586
513		0.084430
514		0.091813
515		0.083784
516		0.091047
517		0.083143
518		0.090287
519		0.082506
520		0.089534
521		0.081875
522		0.088787
523		0.081247
524		0.088047
525		0.080625
526		0.087314
527		0.080007
528		0.086587
529		0.079393
530		0.085866
531		0.078784
532		0.085151
533		0.078180
534		0.084442
535		0.077580
536		0.083740
537		0.076984
538		0.083044
539		0.076393
540		0.082354
541		0.075806
542		0.081669
543		0.075224
544		0.080991
545		0.074645
546		0.080318
547		0.074072
548		0.079652
549		0.073502
550		0.078991
551		0.072936
552		0.078335
553		0.072375
554		0.077686
555		0.071818
556		0.077041
557		0.071265
558		0.076403
559		0.070716
560		0.075770
561		0.070171
562		0.075142
563		0.069630
564		0.074520
565		0.069094
566		0.073903
567		0.068561
568		0.073291
569		0.068032
570		0.072685
571		0.067507
572		0.072084
573		0.066986
574		0.071488
575		0.066469
576		0.070897
577		0.065956
578		0.070311
579		0.065447
580		0.069730
581		0.064941
582		0.069154
583		0.064439
584		0.068583
585		0.063941
586		0.068017
587		0.063447
588		0.067456
589		0.062956
590		0.066899
591		0.062469
592		0.066347
593		0.061986
594		0.065800
595		0.061506
596		0.065258
597		0.061030
598		0.064720
599		0.060557
600		0.064187
601		0.060088
602		0.063658
603		0.059623
604		0.063134
605		0.059161
606		0.062614
607		0.058702
608		0.062098
609		0.058247
610		0.061587
611		0.057796
612		0.061081
613		0.057348
614		0.060578
615		0.056903
616		0.060080
617		0.056461
618		0.059586
619		0.056023
620		0.059096
621		0.055588
622		0.058611
623		0.055156
624		0.058129
625		0.054728
626		0.057652
627		0.054303
628		0.057178
629		0.053881
630		0.056709
631		0.053462
632		0.056243
633		0.053047
634		0.055782
635		0.052634
636		0.055324
637		0.052225
638		0.054870
639		0.051819
640		0.054420
641		0.051416
642		0.053974
643		0.051016
644		0.053532
645		0.050619
646		0.053093
647		0.050225
648		0.052658
649		0.049834
650		0.052227
651		0.049446
652		0.051799
653		0.049061
654		0.051375
655		0.048678
656		0.050954
657		0.048299
658		0.050537
659		0.047923
660		0.050124
661		0.047549
662		0.049713
663		0.047179
664		0.049307
665		0.046811
666		0.048903
667		0.046446
668		0.048504
669		0.046083
670		0.048107
671		0.045724
672		0.047714
673		0.045367
674		0.047324
675		0.045013
676		0.046937
677		0.044662
678		0.046554
679		0.044313
680		0.046173
681		0.043967
682		0.045796
683		0.043623
684		0.045422
685		0.043283
686		0.045052
687		0.042944
688		0.044684
689		0.042609
690		0.044319
691		0.042276
692		0.043958
693		0.041945
694		0.043599
695		0.041617
696		0.043243
697		0.041292
698		0.042891
699		0.040969
700		0.042541
701		0.040649
702		0.042194
703		0.040331
704		0.041850
705		0.040015
706		0.041509
707		0.039702
708		0.041171
709		0.039391
710		0.040836
711		0.039083
712		0.040503
713		0.038777
714		0.040173
715		0.038473
716		0.039846
717		0.038172
718		0.039522
719		0.037873
720		0.039200
721		0.037576
722		0.038881
723		0.037282
724		0.038565
725		0.036990
726		0.038251
727		0.036700
728		0.037940
729		0.036412
730		0.037631
731		0.036126
732		0.037325
733		0.035843
734		0.037021
735		0.035562
736		0.036720
737		0.035283
738		0.036422
739		0.035006
740		0.036126
741		0.034732
742		0.035832
743		0.034459
744		0.035541
745		0.034189
746		0.035252
747		0.033920
748		0.034966
749		0.033654
750		0.034682
751		0.033390
752		0.034400
753		0.033128
754		0.034121
755		0.032868
756		0.033844
757		0.032609
758		0.033569
759		0.032353
760		0.033297
761		0.032099
762		0.033027
763		0.031847
764		0.032759
765		0.031597
766		0.032493
767		0.031348
768		0.032229
769		0.031102
770		0.031968
771		0.030857
772		0.031709
773		0.030615
774		0.031451
775		0.030374
776		0.031196
777		0.030135
778		0.030943
779		0.029898
780		0.030693
781		0.029663
782		0.030444
783		0.029430
784		0.030197
785		0.029198
786		0.029952
787		0.028968
788		0.029710
789		0.028740
790		0.029469
791		0.028514
792		0.029230
793		0.028290
794		0.028994
795		0.028067
796		0.028759
797		0.027846
798		0.028526
799		0.027627
800		0.028295
801		0.027409
802		0.028066
803		0.027193
804		0.027839
805		0.026979
806		0.027613
807		0.026767
808		0.027390
809		0.026556
810		0.027168
811		0.026347
812		0.026948
813		0.026139
814		0.026730
815		0.025933
816		0.026514
817		0.025729
818		0.026300
819		0.025526
820		0.026087
821		0.025325
822		0.025876
823		0.025125
824		0.025667
825		0.024927
826		0.025459
827		0.024730
828		0.025253
829		0.024535
830		0.025049
831		0.024342
832		0.024847
833		0.024150
834		0.024646
835		0.023959
836		0.024447
837		0.023770
838		0.024249
839		0.023583
840		0.024053
841		0.023397
842		0.023859
843		0.023212
844		0.023666
845		0.023029
846		0.023475
847		0.022847
848		0.023286
849		0.022667
850		0.023097
851		0.022488
852		0.022911
853		0.022310
854		0.022726
855		0.022134
856		0.022542
857		0.021959
858		0.022360
859		0.021786
860		0.022180
861		0.021614
862		0.022001
863		0.021443
864		0.021823
865		0.021274
866		0.021647
867		0.021106
868		0.021473
869		0.020939
870		0.021299
871		0.020773
872		0.021127
873		0.020609
874		0.020957
875		0.020446
876		0.020788
877		0.020285
878		0.020620
879		0.020124
880		0.020454
881		0.019965
882		0.020289
883		0.019808
884		0.020125
885		0.019651
886		0.019963
887		0.019496
888		0.019802
889		0.019341
890		0.019642
891		0.019189
892		0.019484
893		0.019037
894		0.019327
895		0.018886
896		0.019171
897		0.018737
898		0.019017
899		0.018589
900		0.018864
901		0.018442
902		0.018712
903		0.018296
904		0.018561
905		0.018151
906		0.018411
907		0.018007
908		0.018263
909		0.017865
910		0.018116
911		0.017723
912		0.017970
913		0.017583
914		0.017825
915		0.017444
916		0.017681
917		0.017306
918		0.017539
919		0.017169
920		0.017398
921		0.017033
922		0.017258
923		0.016898
924		0.017119
925		0.016764
926		0.016981
927		0.016632
928		0.016844
929		0.016500
930		0.016709
931		0.016369
932		0.016574
933		0.016240
934		0.016441
935		0.016111
936		0.016308
937		0.015983
938		0.016177
939		0.015857
940		0.016047
941		0.015731
942		0.015918
943		0.015607
944		0.015790
945		0.015483
946		0.015663
947		0.015360
948		0.015537
949		0.015239
950		0.015412
951		0.015118
952		0.015288
953		0.014998
954		0.015165
955		0.014879
956		0.015043
957		0.014761
958		0.014922
959		0.014644
960		0.014802
