tempo de leitura: 0.304565
Iteracao	Erro < 0.001000
452		0.677717
453		0.403791
454		0.676508
455		0.403362
456		0.675302
457		0.402932
458		0.674099
459		0.402503
460		0.672898
461		0.402075
462		0.671700
463		0.401646
464		0.670505
465		0.401218
466		0.669312
467		0.400791
468		0.668122
469		0.400363
470		0.666934
471		0.399936
472		0.665750
473		0.399510
474		0.664568
475		0.399083
476		0.663388
477		0.398657
478		0.662211
479		0.398232
480		0.661037
481		0.397807
482		0.659865
483		0.397382
484		0.658696
485		0.396957
486		0.657530
487		0.396533
488		0.656366
489		0.396109
490		0.655204
491		0.395685
492		0.654045
493		0.395262
494		0.652889
495		0.394839
496		0.651735
497		0.394417
498		0.650584
499		0.393995
500		0.649436
501		0.393573
502		0.648290
503		0.393151
504		0.647146
505		0.392730
506		0.646005
507		0.392309
508		0.644866
509		0.391889
510		0.643730
511		0.391469
512		0.642597
513		0.391049
514		0.641465
515		0.390629
516		0.640337
517		0.390210
518		0.639211
519		0.389792
520		0.638087
521		0.389373
522		0.636966
523		0.388955
524		0.635847
525		0.388537
526		0.634730
527		0.388120
528		0.633616
529		0.387703
530		0.632505
531		0.387286
532		0.631396
533		0.386870
534		0.630289
535		0.386454
536		0.629185
537		0.386038
538		0.628083
539		0.385623
540		0.626983
541		0.385208
542		0.625886
543		0.384793
544		0.624791
545		0.384379
546		0.623699
547		0.383965
548		0.622609
549		0.383551
550		0.621521
551		0.383138
552		0.620436
553		0.382725
554		0.619353
555		0.382312
556		0.618272
557		0.381900
558		0.617194
559		0.381488
560		0.616118
561		0.381076
562		0.615044
563		0.380665
564		0.613973
565		0.380254
566		0.612904
567		0.379843
568		0.611837
569		0.379433
570		0.610773
571		0.379023
572		0.609710
573		0.378613
574		0.608651
575		0.378204
576		0.607593
577		0.377795
578		0.606538
579		0.377387
580		0.605484
581		0.376978
582		0.604434
583		0.376570
584		0.603385
585		0.376163
586		0.602339
587		0.375756
588		0.601294
589		0.375349
590		0.600253
591		0.374942
592		0.599213
593		0.374536
594		0.598175
595		0.374130
596		0.597140
597		0.373725
598		0.596107
599		0.373320
600		0.595076
601		0.372915
602		0.594047
603		0.372510
604		0.593021
605		0.372106
606		0.591997
607		0.371702
608		0.590974
609		0.371299
610		0.589954
611		0.370896
612		0.588937
613		0.370493
614		0.587921
615		0.370090
616		0.586907
617		0.369688
618		0.585896
619		0.369286
620		0.584887
621		0.368885
622		0.583880
623		0.368484
624		0.582875
625		0.368083
626		0.581872
627		0.367683
628		0.580871
629		0.367282
630		0.579873
631		0.366883
632		0.578876
633		0.366483
634		0.577882
635		0.366084
636		0.576889
637		0.365685
638		0.575899
639		0.365287
640		0.574911
641		0.364889
642		0.573925
643		0.364491
644		0.572941
645		0.364094
646		0.571959
647		0.363697
648		0.570979
649		0.363300
650		0.570001
651		0.362903
652		0.569025
653		0.362507
654		0.568051
655		0.362112
656		0.567079
657		0.361716
658		0.566110
659		0.361321
660		0.565142
661		0.360926
662		0.564176
663		0.360532
664		0.563213
665		0.360138
666		0.562251
667		0.359744
668		0.561291
669		0.359351
670		0.560334
671		0.358958
672		0.559378
673		0.358565
674		0.558424
675		0.358173
676		0.557472
677		0.357781
678		0.556523
679		0.357389
680		0.555575
681		0.356998
682		0.554629
683		0.356607
684		0.553685
685		0.356216
686		0.552743
687		0.355826
688		0.551803
689		0.355436
690		0.550865
691		0.355046
692		0.549929
693		0.354657
694		0.548995
695		0.354268
696		0.548063
697		0.353879
698		0.547133
699		0.353491
700		0.546204
701		0.353103
702		0.545278
703		0.352715
704		0.544353
705		0.352328
706		0.543431
707		0.351941
708		0.542510
709		0.351554
710		0.541591
711		0.351168
712		0.540674
713		0.350782
714		0.539759
715		0.350396
716		0.538846
717		0.350011
718		0.537935
719		0.349626
720		0.537025
721		0.349241
722		0.536118
723		0.348857
724		0.535212
725		0.348473
726		0.534308
727		0.348089
728		0.533406
729		0.347706
730		0.532506
731		0.347323
732		0.531607
733		0.346940
734		0.530711
735		0.346558
736		0.529816
737		0.346176
738		0.528923
739		0.345794
740		0.528032
