tempo de leitura: 0.034777
Iteracao	Erro < 0.001000
0		0.992288
1		0.497075
2		0.984436
3		0.495578
4		0.978579
5		0.494086
6		0.972769
7		0.492598
8		0.967004
9		0.491112
10		0.961284
11		0.489630
12		0.955610
13		0.488150
14		0.949979
15		0.486674
16		0.944392
17		0.485200
18		0.938849
19		0.483730
20		0.933348
21		0.482263
22		0.927890
23		0.480798
24		0.922473
25		0.479337
26		0.917098
27		0.477879
28		0.911765
29		0.476424
30		0.906472
31		0.474972
32		0.901219
33		0.473522
34		0.896006
35		0.472076
36		0.890832
37		0.470634
38		0.885698
39		0.469194
40		0.880601
41		0.467757
42		0.875544
43		0.466323
44		0.870524
45		0.464892
46		0.865541
47		0.463465
48		0.860596
49		0.462040
50		0.855687
51		0.460619
52		0.850814
53		0.459200
54		0.845978
55		0.457785
56		0.841177
57		0.456372
58		0.836411
59		0.454963
60		0.831681
61		0.453557
62		0.826984
63		0.452154
64		0.822322
65		0.450754
66		0.817694
67		0.449357
68		0.813100
69		0.447963
70		0.808538
71		0.446572
72		0.804010
73		0.445185
74		0.799514
75		0.443800
76		0.795050
77		0.442419
78		0.790619
79		0.441040
80		0.786219
81		0.439665
82		0.781850
83		0.438293
84		0.777512
85		0.436923
86		0.773205
87		0.435557
88		0.768929
89		0.434194
90		0.764683
91		0.432834
92		0.760466
93		0.431478
94		0.756280
95		0.430124
96		0.752122
97		0.428773
98		0.747994
99		0.427426
100		0.743894
101		0.426081
102		0.739823
103		0.424740
104		0.735780
105		0.423401
106		0.731765
107		0.422066
108		0.727778
109		0.420734
110		0.723818
111		0.419405
112		0.719886
113		0.418079
114		0.715981
115		0.416756
116		0.712102
117		0.415436
118		0.708250
119		0.414120
120		0.704424
121		0.412806
122		0.700624
123		0.411496
124		0.696849
125		0.410188
126		0.693101
127		0.408884
128		0.689378
129		0.407582
130		0.685679
131		0.406284
132		0.682006
133		0.404989
134		0.678357
135		0.403697
136		0.674733
137		0.402408
138		0.671133
139		0.401122
140		0.667557
141		0.399840
142		0.664004
143		0.398560
144		0.660476
145		0.397283
146		0.656970
147		0.396010
148		0.653488
149		0.394739
150		0.650029
151		0.393472
152		0.646592
153		0.392208
154		0.643179
155		0.390947
156		0.639787
157		0.389688
158		0.636418
159		0.388433
160		0.633070
161		0.387181
162		0.629745
163		0.385933
164		0.626441
165		0.384687
166		0.623159
167		0.383444
168		0.619897
169		0.382204
170		0.616657
171		0.380967
172		0.613438
173		0.379734
174		0.610240
175		0.378503
176		0.607062
177		0.377276
178		0.603904
179		0.376051
180		0.600767
181		0.374830
182		0.597649
183		0.373612
184		0.594552
185		0.372397
186		0.591474
187		0.371184
188		0.588416
189		0.369975
190		0.585377
191		0.368769
192		0.582358
193		0.367566
194		0.579357
195		0.366366
196		0.576375
197		0.365169
198		0.573413
199		0.363975
200		0.570468
201		0.362784
202		0.567542
203		0.361596
204		0.564635
205		0.360412
206		0.561746
207		0.359230
208		0.558874
209		0.358051
210		0.556021
211		0.356875
212		0.553185
213		0.355703
214		0.550367
215		0.354533
216		0.547566
217		0.353366
218		0.544782
219		0.352203
220		0.542016
221		0.351042
222		0.539267
223		0.349885
224		0.536534
225		0.348730
226		0.533819
227		0.347578
228		0.531120
229		0.346430
230		0.528437
231		0.345284
232		0.525771
233		0.344142
234		0.523121
235		0.343002
236		0.520487
237		0.341865
238		0.517869
239		0.340732
240		0.515267
241		0.339601
242		0.512681
243		0.338474
244		0.510110
245		0.337349
246		0.507555
247		0.336227
248		0.505015
249		0.335109
250		0.502491
251		0.333993
252		0.499981
253		0.332880
254		0.497487
255		0.331771
256		0.495007
257		0.330664
258		0.492543
259		0.329560
260		0.490093
261		0.328459
262		0.487657
263		0.327361
264		0.485236
265		0.326266
266		0.482830
267		0.325174
268		0.480437
269		0.324085
270		0.478059
271		0.322999
272		0.475695
273		0.321916
274		0.473344
275		0.320836
276		0.471008
277		0.319758
278		0.468685
279		0.318684
280		0.466376
281		0.317613
282		0.464080
283		0.316544
284		0.461798
285		0.315478
286		0.459529
287		0.314416
288		0.457273
289		0.313356
290		0.455031
291		0.312299
292		0.452801
293		0.311245
294		0.450585
295		0.310194
296		0.448381
297		0.309146
298		0.446190
299		0.308101
300		0.444011
301		0.307059
302		0.441846
303		0.306019
304		0.439692
305		0.304983
306		0.437551
307		0.303949
308		0.435422
309		0.302918
310		0.433306
311		0.301890
312		0.431201
313		0.300865
314		0.429109
315		0.299843
316		0.427029
317		0.298824
318		0.424960
319		0.297807
320		0.422903
321		0.296793
322		0.420858
323		0.295783
324		0.418824
325		0.294775
326		0.416802
327		0.293770
328		0.414792
329		0.292767
330		0.412792
331		0.291768
332		0.410804
333		0.290771
334		0.408828
335		0.289778
336		0.406862
337		0.288787
338		0.404907
339		0.287799
340		0.402964
341		0.286813
342		0.401031
343		0.285831
344		0.399109
345		0.284851
346		0.397198
347		0.283874
348		0.395297
349		0.282900
350		0.393407
351		0.281929
352		0.391527
353		0.280961
354		0.389658
355		0.279995
356		0.387800
357		0.279032
358		0.385951
359		0.278072
360		0.384113
361		0.277114
362		0.382285
363		0.276160
364		0.380467
365		0.275208
366		0.378659
367		0.274259
368		0.376861
369		0.273313
370		0.375073
371		0.272369
372		0.373295
373		0.271428
374		0.371527
375		0.270490
376		0.369768
377		0.269555
378		0.368018
379		0.268622
380		0.366279
381		0.267692
382		0.364549
383		0.266765
384		0.362828
385		0.265841
386		0.361117
387		0.264919
388		0.359414
389		0.264000
390		0.357722
391		0.263084
392		0.356038
393		0.262170
394		0.354363
395		0.261259
396		0.352698
397		0.260351
398		0.351041
399		0.259445
400		0.349394
401		0.258543
402		0.347755
403		0.257642
404		0.346125
405		0.256745
406		0.344504
407		0.255850
408		0.342892
409		0.254958
410		0.341288
411		0.254068
412		0.339693
413		0.253181
414		0.338106
415		0.252297
416		0.336528
417		0.251416
418		0.334958
419		0.250537
420		0.333397
421		0.249660
422		0.331844
423		0.248787
424		0.330299
425		0.247916
426		0.328762
427		0.247047
428		0.327234
429		0.246181
430		0.325713
431		0.245318
432		0.324201
433		0.244458
434		0.322697
435		0.243600
436		0.321200
437		0.242744
438		0.319712
439		0.241892
440		0.318231
441		0.241041
442		0.316758
443		0.240194
444		0.315293
445		0.239349
446		0.313836
447		0.238506
448		0.312386
449		0.237666
450		0.310944
451		0.236829
452		0.309509
453		0.235994
454		0.308082
455		0.235162
456		0.306662
457		0.234332
458		0.305250
459		0.233505
460		0.303845
461		0.232680
462		0.302448
463		0.231858
464		0.301057
465		0.231039
466		0.299674
467		0.230221
468		0.298298
469		0.229407
470		0.296930
471		0.228595
472		0.295568
473		0.227785
474		0.294213
475		0.226978
476		0.292865
477		0.226174
478		0.291525
479		0.225372
480		0.290191
481		0.224572
482		0.288864
483		0.223775
484		0.287544
485		0.222980
486		0.286231
487		0.222188
