tempo de leitura: 0.592431
Iteracao	Erro < 0.001000
0		1.020186
1		0.510005
2		1.019185
3		0.509625
4		1.018685
5		0.509245
6		1.018185
7		0.508866
8		1.017685
9		0.508486
10		1.017185
11		0.508107
12		1.016685
13		0.507728
14		1.016185
15		0.507349
16		1.015685
17		0.506970
18		1.015185
19		0.506592
20		1.014684
21		0.506213
22		1.014184
23		0.505835
24		1.013684
25		0.505457
26		1.013184
27		0.505080
28		1.012684
29		0.504702
30		1.012184
31		0.504325
32		1.011683
33		0.503948
34		1.011183
35		0.503571
36		1.010683
37		0.503194
38		1.010183
39		0.502817
40		1.009683
41		0.502441
42		1.008796
43		0.502064
44		1.007280
45		0.501688
46		1.005767
47		0.501313
48		1.004256
49		0.500937
50		1.002749
51		0.500561
52		1.001245
53		0.500186
54		0.999744
55		0.499811
56		0.998245
57		0.499436
58		0.996750
59		0.499061
60		0.995258
61		0.498687
62		0.993769
63		0.498312
64		0.992282
65		0.497938
66		0.990799
67		0.497564
68		0.989319
69		0.497190
70		0.987841
71		0.496817
72		0.986367
73		0.496443
74		0.984895
75		0.496070
76		0.983426
77		0.495697
78		0.981960
79		0.495324
80		0.980498
81		0.494951
82		0.979038
83		0.494579
84		0.977580
85		0.494207
86		0.976126
87		0.493834
88		0.974675
89		0.493463
90		0.973226
91		0.493091
92		0.971781
93		0.492719
94		0.970338
95		0.492348
96		0.968898
97		0.491977
98		0.967461
99		0.491606
100		0.966027
101		0.491235
102		0.964595
103		0.490864
104		0.963167
105		0.490494
106		0.961741
107		0.490124
108		0.960318
109		0.489754
110		0.958897
111		0.489384
112		0.957480
113		0.489014
114		0.956065
115		0.488645
116		0.954653
117		0.488275
118		0.953244
119		0.487906
120		0.951838
121		0.487537
122		0.950434
123		0.487169
124		0.949033
125		0.486800
126		0.947635
127		0.486432
128		0.946239
129		0.486064
130		0.944846
131		0.485696
132		0.943456
133		0.485328
134		0.942069
135		0.484960
136		0.940684
137		0.484593
138		0.939302
139		0.484226
140		0.937923
141		0.483859
142		0.936546
143		0.483492
144		0.935172
145		0.483125
146		0.933801
147		0.482759
148		0.932432
149		0.482393
150		0.931066
151		0.482026
152		0.929703
153		0.481661
154		0.928342
155		0.481295
156		0.926984
157		0.480929
158		0.925628
159		0.480564
160		0.924275
161		0.480199
162		0.922925
163		0.479834
164		0.921577
165		0.479469
166		0.920232
167		0.479105
168		0.918889
169		0.478740
170		0.917549
171		0.478376
172		0.916212
173		0.478012
174		0.914877
175		0.477648
176		0.913545
177		0.477285
178		0.912215
179		0.476921
180		0.910888
181		0.476558
182		0.909563
183		0.476195
184		0.908241
185		0.475832
186		0.906921
187		0.475470
188		0.905604
189		0.475107
190		0.904289
191		0.474745
192		0.902977
193		0.474383
194		0.901667
195		0.474021
196		0.900360
197		0.473659
198		0.899056
199		0.473298
200		0.897753
201		0.472936
202		0.896454
203		0.472575
204		0.895156
205		0.472214
206		0.893862
207		0.471854
208		0.892569
209		0.471493
210		0.891279
211		0.471133
212		0.889992
213		0.470773
214		0.888707
215		0.470413
216		0.887424
217		0.470053
218		0.886144
219		0.469693
220		0.884866
221		0.469334
222		0.883591
223		0.468975
224		0.882318
225		0.468616
226		0.881047
227		0.468257
228		0.879779
229		0.467898
230		0.878513
231		0.467540
232		0.877250
233		0.467181
234		0.875989
235		0.466823
236		0.874730
237		0.466465
238		0.873474
239		0.466108
240		0.872220
241		0.465750
242		0.870968
243		0.465393
244		0.869719
245		0.465036
246		0.868472
247		0.464679
248		0.867227
249		0.464322
250		0.865985
251		0.463966
252		0.864745
253		0.463609
254		0.863507
255		0.463253
256		0.862272
257		0.462897
258		0.861039
259		0.462541
260		0.859808
261		0.462186
262		0.858579
263		0.461830
264		0.857353
265		0.461475
266		0.856129
267		0.461120
268		0.854907
269		0.460765
270		0.853688
271		0.460411
272		0.852471
273		0.460056
274		0.851256
275		0.459702
276		0.850043
277		0.459348
278		0.848833
279		0.458994
280		0.847625
281		0.458640
282		0.846419
283		0.458287
284		0.845215
285		0.457934
286		0.844013
287		0.457580
288		0.842814
289		0.457228
290		0.841617
291		0.456875
292		0.840422
293		0.456522
294		0.839229
295		0.456170
296		0.838039
297		0.455818
298		0.836851
299		0.455466
300		0.835665
301		0.455114
302		0.834481
303		0.454763
304		0.833299
305		0.454411
306		0.832119
307		0.454060
308		0.830942
309		0.453709
310		0.829766
311		0.453358
312		0.828593
313		0.453008
314		0.827422
315		0.452657
316		0.826253
317		0.452307
318		0.825087
319		0.451957
320		0.823922
321		0.451607
322		0.822760
323		0.451257
324		0.821599
325		0.450908
326		0.820441
327		0.450559
328		0.819285
329		0.450210
330		0.818131
331		0.449861
332		0.816979
333		0.449512
334		0.815829
335		0.449164
336		0.814681
337		0.448815
338		0.813535
339		0.448467
340		0.812392
341		0.448119
342		0.811250
343		0.447771
344		0.810111
345		0.447424
346		0.808973
347		0.447077
348		0.807838
349		0.446729
350		0.806705
351		0.446383
352		0.805573
353		0.446036
354		0.804444
355		0.445689
356		0.803317
357		0.445343
358		0.802192
359		0.444997
360		0.801069
361		0.444651
362		0.799948
363		0.444305
364		0.798828
365		0.443959
366		0.797711
367		0.443614
368		0.796596
369		0.443268
370		0.795483
371		0.442923
372		0.794372
373		0.442579
374		0.793263
375		0.442234
376		0.792156
377		0.441889
378		0.791051
379		0.441545
380		0.789948
381		0.441201
382		0.788846
383		0.440857
384		0.787747
385		0.440514
386		0.786650
387		0.440170
388		0.785555
389		0.439827
390		0.784461
391		0.439484
392		0.783370
393		0.439141
394		0.782281
395		0.438798
396		0.781193
397		0.438455
398		0.780108
399		0.438113
400		0.779024
401		0.437771
402		0.777942
403		0.437429
404		0.776863
405		0.437087
406		0.775785
407		0.436746
408		0.774709
409		0.436404
410		0.773635
411		0.436063
412		0.772563
413		0.435722
414		0.771492
415		0.435381
416		0.770424
417		0.435041
418		0.769358
419		0.434700
420		0.768293
421		0.434360
422		0.767230
423		0.434020
424		0.766169
425		0.433680
426		0.765111
427		0.433340
428		0.764053
429		0.433001
430		0.762998
431		0.432662
432		0.761945
433		0.432323
434		0.760893
435		0.431984
436		0.759844
437		0.431645
438		0.758796
439		0.431307
440		0.757750
441		0.430968
442		0.756706
443		0.430630
444		0.755664
445		0.430292
446		0.754623
447		0.429954
448		0.753585
449		0.429617
450		0.752548
451		0.429280
452		0.751513
453		0.428942
454		0.750480
455		0.428606
456		0.749448
457		0.428269
458		0.748419
459		0.427932
460		0.747391
461		0.427596
462		0.746365
463		0.427260
464		0.745341
465		0.426924
466		0.744318
467		0.426588
468		0.743298
469		0.426252
470		0.742279
471		0.425917
472		0.741262
473		0.425582
474		0.740246
475		0.425247
476		0.739233
477		0.424912
478		0.738221
479		0.424577
480		0.737211
481		0.424243
482		0.736203
483		0.423908
484		0.735196
485		0.423574
486		0.734192
487		0.423240
488		0.733189
489		0.422907
490		0.732187
491		0.422573
492		0.731188
493		0.422240
494		0.730190
495		0.421907
496		0.729194
497		0.421574
498		0.728199
499		0.421241
500		0.727207
501		0.420909
502		0.726216
503		0.420576
504		0.725227
505		0.420244
506		0.724239
507		0.419912
508		0.723253
509		0.419580
510		0.722269
511		0.419249
512		0.721287
513		0.418918
514		0.720306
515		0.418586
516		0.719327
517		0.418255
518		0.718349
519		0.417925
520		0.717374
521		0.417594
522		0.716400
523		0.417264
524		0.715427
525		0.416933
526		0.714457
527		0.416603
528		0.713488
529		0.416273
530		0.712520
531		0.415944
532		0.711555
533		0.415614
534		0.710591
535		0.415285
536		0.709628
537		0.414956
538		0.708667
539		0.414627
540		0.707708
541		0.414299
542		0.706751
543		0.413970
544		0.705795
545		0.413642
546		0.704841
547		0.413314
548		0.703888
549		0.412986
550		0.702937
551		0.412658
552		0.701988
553		0.412330
554		0.701040
555		0.412003
556		0.700094
557		0.411676
558		0.699149
559		0.411349
560		0.698206
561		0.411022
562		0.697265
563		0.410696
564		0.696325
565		0.410369
566		0.695387
567		0.410043
568		0.694451
569		0.409717
570		0.693516
571		0.409391
572		0.692582
573		0.409066
574		0.691650
575		0.408740
576		0.690720
577		0.408415
578		0.689792
579		0.408090
580		0.688864
581		0.407765
582		0.687939
583		0.407441
584		0.687015
585		0.407116
586		0.686093
587		0.406792
588		0.685172
589		0.406468
590		0.684252
591		0.406144
592		0.683335
593		0.405820
594		0.682418
595		0.405497
596		0.681504
597		0.405174
598		0.680591
599		0.404851
600		0.679679
601		0.404528
602		0.678769
603		0.404205
604		0.677860
605		0.403882
606		0.676953
607		0.403560
608		0.676048
609		0.403238
610		0.675144
611		0.402916
612		0.674242
613		0.402594
614		0.673341
615		0.402273
616		0.672441
617		0.401951
618		0.671543
619		0.401630
620		0.670647
621		0.401309
622		0.669752
623		0.400988
624		0.668858
625		0.400668
626		0.667966
627		0.400347
628		0.667076
629		0.400027
630		0.666187
631		0.399707
632		0.665299
633		0.399387
634		0.664413
635		0.399068
636		0.663529
637		0.398748
638		0.662646
639		0.398429
640		0.661764
641		0.398110
642		0.660884
643		0.397791
644		0.660005
645		0.397472
646		0.659128
647		0.397154
648		0.658252
649		0.396836
650		0.657378
651		0.396518
652		0.656505
653		0.396200
654		0.655633
655		0.395882
656		0.654763
657		0.395564
658		0.653895
659		0.395247
660		0.653028
661		0.394930
662		0.652162
663		0.394613
664		0.651298
665		0.394296
666		0.650435
667		0.393980
668		0.649574
669		0.393663
670		0.648714
671		0.393347
672		0.647855
673		0.393031
674		0.646998
675		0.392715
676		0.646142
677		0.392400
678		0.645288
679		0.392084
680		0.644435
681		0.391769
682		0.643583
683		0.391454
684		0.642733
685		0.391139
686		0.641884
687		0.390825
688		0.641037
689		0.390510
690		0.640191
691		0.390196
692		0.639346
693		0.389882
694		0.638503
695		0.389568
696		0.637661
697		0.389254
698		0.636821
699		0.388941
700		0.635982
701		0.388627
702		0.635144
703		0.388314
704		0.634308
705		0.388001
706		0.633473
707		0.387689
708		0.632639
709		0.387376
710		0.631807
711		0.387064
712		0.630976
713		0.386752
714		0.630147
715		0.386440
716		0.629318
717		0.386128
718		0.628492
719		0.385816
720		0.627666
721		0.385505
722		0.626842
723		0.385194
724		0.626019
725		0.384883
726		0.625198
727		0.384572
728		0.624378
729		0.384261
730		0.623559
731		0.383951
732		0.622741
733		0.383641
734		0.621925
735		0.383331
736		0.621110
737		0.383021
738		0.620297
739		0.382711
740		0.619485
741		0.382402
742		0.618674
743		0.382092
744		0.617864
745		0.381783
746		0.617056
747		0.381474
748		0.616249
749		0.381166
750		0.615444
751		0.380857
752		0.614639
753		0.380549
754		0.613836
755		0.380241
756		0.613034
757		0.379933
758		0.612234
759		0.379625
760		0.611435
761		0.379317
762		0.610637
763		0.379010
764		0.609840
765		0.378703
766		0.609045
767		0.378396
768		0.608251
769		0.378089
770		0.607458
771		0.377782
772		0.606667
773		0.377476
774		0.605877
775		0.377170
776		0.605088
777		0.376864
778		0.604300
