tempo de leitura: 0.134540
Iteracao	Erro < 0.001000
0		1.019509
1		0.526843
2		1.017507
3		0.526066
4		1.016507
5		0.525290
6		1.015506
7		0.524516
8		1.014505
9		0.523742
10		1.013504
11		0.522968
12		1.012503
13		0.522196
14		1.011503
15		0.521424
16		1.010502
17		0.520653
18		1.009501
19		0.519882
20		1.008500
21		0.519113
22		1.007499
23		0.518344
24		1.006498
25		0.517576
26		1.005497
27		0.516808
28		1.004496
29		0.516042
30		1.003495
31		0.515276
32		1.002494
33		0.514510
34		1.001493
35		0.513746
36		1.000492
37		0.512982
38		0.999491
39		0.512219
40		0.998490
41		0.511457
42		0.997489
43		0.510696
44		0.996488
45		0.509935
46		0.995487
47		0.509175
48		0.994486
49		0.508416
50		0.993485
51		0.507657
52		0.992484
53		0.506900
54		0.991483
55		0.506143
56		0.990482
57		0.505386
58		0.989481
59		0.504631
60		0.988481
61		0.503876
62		0.987480
63		0.503122
64		0.986479
65		0.502369
66		0.985478
67		0.501616
68		0.984477
69		0.500865
70		0.983477
71		0.500114
72		0.982476
73		0.499363
74		0.981475
75		0.498614
76		0.980475
77		0.497865
78		0.979474
79		0.497117
80		0.978474
81		0.496370
82		0.977473
83		0.495623
84		0.976473
85		0.494878
86		0.975472
87		0.494133
88		0.974472
89		0.493389
90		0.971979
91		0.492645
92		0.969095
93		0.491902
94		0.966222
95		0.491160
96		0.963361
97		0.490419
98		0.960511
99		0.489679
100		0.957672
101		0.488939
102		0.954844
103		0.488200
104		0.952027
105		0.487462
106		0.949221
107		0.486725
108		0.946426
109		0.485988
110		0.943642
111		0.485252
112		0.940869
113		0.484517
114		0.938106
115		0.483783
116		0.935354
117		0.483049
118		0.932613
119		0.482316
120		0.929882
121		0.481584
122		0.927162
123		0.480853
124		0.924453
125		0.480122
126		0.921753
127		0.479392
128		0.919065
129		0.478663
130		0.916386
131		0.477935
132		0.913718
133		0.477207
134		0.911060
135		0.476480
136		0.908412
137		0.475754
138		0.905774
139		0.475029
140		0.903146
141		0.474305
142		0.900528
143		0.473581
144		0.897920
145		0.472858
146		0.895322
147		0.472136
148		0.892734
149		0.471414
