tempo de leitura: 2.180372
Iteracao	Erro < 0.001000
0		1.003095
1		0.500649
2		1.002097
3		0.500461
4		1.001345
5		0.500273
6		1.000594
7		0.500086
8		0.999844
9		0.499898
10		0.999094
11		0.499711
12		0.998345
13		0.499523
14		0.997597
15		0.499336
16		0.996850
17		0.499149
18		0.996103
19		0.498961
20		0.995358
21		0.498774
22		0.994612
23		0.498587
24		0.993868
25		0.498400
26		0.993125
27		0.498213
28		0.992382
29		0.498026
30		0.991640
31		0.497839
32		0.990898
33		0.497652
34		0.990158
35		0.497465
36		0.989418
37		0.497278
38		0.988679
39		0.497091
40		0.987940
41		0.496904
42		0.987203
43		0.496718
44		0.986466
45		0.496531
46		0.985729
47		0.496344
48		0.984994
49		0.496158
50		0.984259
51		0.495971
52		0.983525
53		0.495785
54		0.982792
55		0.495598
56		0.982059
57		0.495412
58		0.981328
59		0.495225
60		0.980596
61		0.495039
62		0.979866
63		0.494853
64		0.979136
65		0.494667
66		0.978407
67		0.494480
68		0.977679
69		0.494294
70		0.976952
71		0.494108
72		0.976225
73		0.493922
74		0.975499
75		0.493736
76		0.974773
77		0.493550
78		0.974049
79		0.493364
80		0.973325
81		0.493179
82		0.972602
83		0.492993
84		0.971879
85		0.492807
86		0.971157
87		0.492621
88		0.970436
89		0.492436
90		0.969716
91		0.492250
92		0.968996
93		0.492065
94		0.968277
95		0.491879
96		0.967559
97		0.491694
98		0.966842
99		0.491508
100		0.966125
101		0.491323
102		0.965409
103		0.491137
104		0.964693
105		0.490952
106		0.963979
107		0.490767
108		0.963265
109		0.490582
110		0.962551
111		0.490397
112		0.961839
113		0.490212
114		0.961127
115		0.490027
116		0.960416
117		0.489842
118		0.959705
119		0.489657
120		0.958995
121		0.489472
122		0.958286
123		0.489287
124		0.957578
125		0.489102
126		0.956870
127		0.488917
128		0.956163
129		0.488733
130		0.955456
131		0.488548
132		0.954751
133		0.488363
134		0.954046
135		0.488179
136		0.953342
137		0.487994
138		0.952638
139		0.487810
140		0.951935
141		0.487625
142		0.951233
143		0.487441
144		0.950531
145		0.487257
146		0.949830
147		0.487072
148		0.949130
149		0.486888
150		0.948431
151		0.486704
152		0.947732
153		0.486520
154		0.947034
155		0.486336
156		0.946336
157		0.486152
158		0.945640
159		0.485968
160		0.944943
161		0.485784
162		0.944248
163		0.485600
164		0.943553
165		0.485416
166		0.942859
167		0.485232
168		0.942166
169		0.485048
170		0.941473
171		0.484865
172		0.940781
173		0.484681
174		0.940090
175		0.484497
176		0.939399
177		0.484314
178		0.938709
179		0.484130
180		0.938020
181		0.483947
182		0.937331
183		0.483763
184		0.936643
185		0.483580
186		0.935955
187		0.483397
188		0.935269
189		0.483213
190		0.934583
191		0.483030
192		0.933897
193		0.482847
194		0.933213
195		0.482664
196		0.932528
197		0.482481
198		0.931845
199		0.482298
200		0.931162
201		0.482115
202		0.930480
203		0.481932
204		0.929799
205		0.481749
206		0.929118
207		0.481566
208		0.928438
209		0.481383
210		0.927759
211		0.481200
212		0.927080
213		0.481018
214		0.926402
215		0.480835
216		0.925724
217		0.480652
218		0.925047
219		0.480470
220		0.924371
221		0.480287
222		0.923696
223		0.480105
224		0.923021
225		0.479922
226		0.922346
227		0.479740
228		0.921673
229		0.479558
230		0.921000
231		0.479375
232		0.920328
233		0.479193
234		0.919656
235		0.479011
236		0.918985
237		0.478829
238		0.918315
239		0.478647
240		0.917645
241		0.478465
242		0.916976
243		0.478283
244		0.916307
245		0.478101
246		0.915640
247		0.477919
248		0.914972
249		0.477737
250		0.914306
251		0.477555
252		0.913640
253		0.477373
254		0.912975
255		0.477192
256		0.912310
257		0.477010
258		0.911646
259		0.476828
260		0.910983
261		0.476647
262		0.910320
263		0.476465
264		0.909658
265		0.476284
266		0.908997
267		0.476102
268		0.908336
269		0.475921
270		0.907676
271		0.475740
272		0.907016
273		0.475558
274		0.906357
275		0.475377
276		0.905699
277		0.475196
278		0.905041
279		0.475015
280		0.904384
281		0.474834
282		0.903728
283		0.474652
284		0.903072
285		0.474471
286		0.902417
287		0.474291
288		0.901762
289		0.474110
290		0.901108
291		0.473929
292		0.900455
293		0.473748
294		0.899802
295		0.473567
296		0.899150
297		0.473386
298		0.898499
299		0.473206
300		0.897848
301		0.473025
302		0.897198
303		0.472845
304		0.896548
305		0.472664
306		0.895899
307		0.472484
308		0.895251
309		0.472303
310		0.894603
311		0.472123
312		0.893956
313		0.471942
314		0.893310
315		0.471762
316		0.892664
317		0.471582
318		0.892018
319		0.471402
320		0.891374
321		0.471221
322		0.890730
323		0.471041
324		0.890086
325		0.470861
326		0.889443
327		0.470681
328		0.888801
329		0.470501
330		0.888159
331		0.470321
332		0.887518
333		0.470142
334		0.886878
335		0.469962
336		0.886238
337		0.469782
338		0.885599
339		0.469602
340		0.884960
341		0.469423
342		0.884322
343		0.469243
344		0.883685
345		0.469063
346		0.883048
347		0.468884
348		0.882412
349		0.468704
350		0.881776
351		0.468525
352		0.881141
353		0.468346
354		0.880507
355		0.468166
356		0.879873
357		0.467987
358		0.879240
359		0.467808
360		0.878607
361		0.467628
362		0.877975
363		0.467449
364		0.877343
365		0.467270
366		0.876713
367		0.467091
368		0.876082
369		0.466912
370		0.875453
371		0.466733
372		0.874824
373		0.466554
374		0.874195
375		0.466375
376		0.873567
377		0.466197
378		0.872940
379		0.466018
380		0.872313
381		0.465839
382		0.871687
383		0.465660
384		0.871061
385		0.465482
386		0.870436
387		0.465303
388		0.869812
389		0.465125
390		0.869188
391		0.464946
392		0.868565
393		0.464768
394		0.867942
395		0.464589
396		0.867320
397		0.464411
398		0.866699
399		0.464233
400		0.866078
401		0.464054
402		0.865458
403		0.463876
404		0.864838
405		0.463698
406		0.864219
407		0.463520
408		0.863600
409		0.463342
410		0.862982
411		0.463164
412		0.862365
413		0.462986
414		0.861748
415		0.462808
416		0.861131
417		0.462630
418		0.860516
419		0.462452
420		0.859901
421		0.462275
422		0.859286
423		0.462097
424		0.858672
425		0.461919
426		0.858058
427		0.461742
428		0.857446
429		0.461564
430		0.856833
431		0.461387
432		0.856222
433		0.461209
434		0.855610
435		0.461032
436		0.855000
437		0.460854
438		0.854390
439		0.460677
440		0.853780
441		0.460500
442		0.853171
443		0.460322
444		0.852563
445		0.460145
446		0.851955
447		0.459968
448		0.851348
449		0.459791
450		0.850742
451		0.459614
452		0.850135
453		0.459437
454		0.849530
455		0.459260
456		0.848925
457		0.459083
458		0.848321
459		0.458906
460		0.847717
461		0.458729
462		0.847113
463		0.458553
464		0.846511
465		0.458376
466		0.845908
467		0.458199
468		0.845307
469		0.458023
470		0.844706
471		0.457846
472		0.844105
473		0.457670
474		0.843505
475		0.457493
476		0.842906
477		0.457317
478		0.842307
479		0.457140
480		0.841709
481		0.456964
482		0.841111
483		0.456788
484		0.840514
485		0.456611
486		0.839917
487		0.456435
488		0.839321
489		0.456259
490		0.838726
491		0.456083
492		0.838131
493		0.455907
494		0.837536
495		0.455731
496		0.836942
497		0.455555
498		0.836349
499		0.455379
500		0.835756
501		0.455203
502		0.835164
503		0.455027
504		0.834572
505		0.454852
506		0.833981
507		0.454676
508		0.833390
509		0.454500
510		0.832800
511		0.454325
512		0.832210
513		0.454149
514		0.831621
515		0.453974
516		0.831033
517		0.453798
518		0.830445
519		0.453623
520		0.829858
521		0.453447
522		0.829271
523		0.453272
524		0.828684
525		0.453097
526		0.828098
527		0.452922
528		0.827513
529		0.452746
530		0.826928
531		0.452571
532		0.826344
533		0.452396
534		0.825761
535		0.452221
536		0.825177
537		0.452046
538		0.824595
539		0.451871
540		0.824013
541		0.451696
542		0.823431
543		0.451521
544		0.822850
545		0.451347
546		0.822270
547		0.451172
548		0.821690
549		0.450997
550		0.821110
551		0.450823
552		0.820531
553		0.450648
554		0.819953
555		0.450473
556		0.819375
557		0.450299
558		0.818798
559		0.450124
560		0.818221
561		0.449950
562		0.817645
563		0.449776
564		0.817069
565		0.449601
566		0.816494
567		0.449427
568		0.815919
569		0.449253
570		0.815345
571		0.449079
572		0.814771
573		0.448905
574		0.814198
575		0.448730
576		0.813626
577		0.448556
578		0.813054
579		0.448382
580		0.812482
581		0.448209
582		0.811911
583		0.448035
584		0.811340
585		0.447861
586		0.810770
587		0.447687
588		0.810201
589		0.447513
590		0.809632
591		0.447340
592		0.809063
593		0.447166
594		0.808495
595		0.446992
596		0.807928
597		0.446819
598		0.807361
599		0.446645
600		0.806794
601		0.446472
602		0.806229
603		0.446298
604		0.805663
605		0.446125
606		0.805098
607		0.445952
608		0.804534
609		0.445778
610		0.803970
611		0.445605
612		0.803407
613		0.445432
614		0.802844
615		0.445259
616		0.802281
617		0.445086
618		0.801720
619		0.444913
620		0.801158
621		0.444740
622		0.800597
623		0.444567
624		0.800037
625		0.444394
626		0.799477
627		0.444221
628		0.798918
629		0.444049
630		0.798359
631		0.443876
632		0.797801
633		0.443703
634		0.797243
635		0.443530
636		0.796686
637		0.443358
638		0.796129
639		0.443185
640		0.795572
641		0.443013
642		0.795017
643		0.442840
644		0.794461
645		0.442668
646		0.793906
647		0.442496
648		0.793352
649		0.442323
650		0.792798
651		0.442151
652		0.792245
653		0.441979
654		0.791692
655		0.441807
656		0.791140
657		0.441635
658		0.790588
659		0.441463
660		0.790037
661		0.441291
662		0.789486
663		0.441119
664		0.788935
665		0.440947
666		0.788385
667		0.440775
668		0.787836
669		0.440603
670		0.787287
671		0.440431
672		0.786739
673		0.440259
674		0.786191
675		0.440088
676		0.785643
677		0.439916
678		0.785097
679		0.439745
680		0.784550
681		0.439573
682		0.784004
683		0.439402
684		0.783459
685		0.439230
686		0.782914
687		0.439059
688		0.782369
689		0.438887
690		0.781825
691		0.438716
692		0.781282
693		0.438545
694		0.780739
695		0.438374
696		0.780196
697		0.438203
698		0.779654
699		0.438031
700		0.779112
701		0.437860
702		0.778571
703		0.437689
704		0.778031
705		0.437518
706		0.777490
707		0.437348
708		0.776951
709		0.437177
710		0.776412
711		0.437006
712		0.775873
713		0.436835
714		0.775335
715		0.436664
716		0.774797
717		0.436494
718		0.774260
719		0.436323
720		0.773723
721		0.436153
722		0.773186
723		0.435982
724		0.772651
725		0.435812
726		0.772115
727		0.435641
728		0.771580
729		0.435471
730		0.771046
731		0.435300
732		0.770512
733		0.435130
734		0.769978
735		0.434960
736		0.769445
737		0.434790
738		0.768913
739		0.434620
740		0.768381
741		0.434449
742		0.767849
743		0.434279
744		0.767318
745		0.434109
746		0.766787
747		0.433939
748		0.766257
749		0.433770
750		0.765727
751		0.433600
752		0.765198
753		0.433430
754		0.764669
755		0.433260
756		0.764141
757		0.433090
758		0.763613
759		0.432921
760		0.763086
761		0.432751
762		0.762559
763		0.432582
764		0.762032
765		0.432412
766		0.761506
767		0.432243
768		0.760981
769		0.432073
770		0.760456
771		0.431904
772		0.759931
773		0.431735
774		0.759407
775		0.431565
776		0.758883
777		0.431396
778		0.758360
779		0.431227
780		0.757837
781		0.431058
782		0.757315
783		0.430889
784		0.756793
785		0.430720
786		0.756272
787		0.430551
788		0.755751
789		0.430382
790		0.755230
791		0.430213
792		0.754710
793		0.430044
794		0.754191
795		0.429875
796		0.753671
797		0.429706
798		0.753153
799		0.429538
800		0.752635
801		0.429369
802		0.752117
803		0.429201
804		0.751600
805		0.429032
806		0.751083
807		0.428864
808		0.750566
809		0.428695
810		0.750050
811		0.428527
812		0.749535
813		0.428358
814		0.749020
815		0.428190
816		0.748505
817		0.428022
818		0.747991
819		0.427854
820		0.747477
821		0.427685
822		0.746964
823		0.427517
824		0.746451
825		0.427349
826		0.745939
827		0.427181
828		0.745427
829		0.427013
830		0.744916
831		0.426845
832		0.744405
833		0.426677
834		0.743894
835		0.426510
836		0.743384
837		0.426342
838		0.742874
839		0.426174
840		0.742365
841		0.426006
842		0.741856
843		0.425839
844		0.741348
845		0.425671
846		0.740840
847		0.425504
